Product_ID,Product_Name,Category,Sub_Type,Target_Segment,Currency,Annual_Fee,Interest_Rate_APR_pct,Yield_Return_pct,Credit_Limit_or_Loan_Amount,Min_Balance_Requirement,Rewards_Program,Digital_Only,Launch_Year,Key_Characteristics,Key_Benefits
UBSP014,UBS Youth Account,Account,Current Account,Retail,CHF,16.6,,,,2600.0,,No,2021,"Minimum balance CHF 2,600; Free e-banking and mobile app access; Unlimited domestic transfers",Simplifies day-to-day banking and bill payments
UBSP015,UBS Multi-Currency Account,Account,Current Account,Affluent,USD,56.28,,,,4000.0,,No,2008,"Minimum balance USD 4,000; Free e-banking and mobile app access; Standing orders and multi-currency sub-accounts",Simplifies day-to-day banking and bill payments; Streamlines multi-currency cash management
UBSP016,UBS Business Current Account,Account,Current Account,Business,CHF,40.97,,,,7200.0,,No,2020,"Minimum balance CHF 7,200; Free e-banking and mobile app access; Standing orders and multi-currency sub-accounts",Simplifies day-to-day banking and bill payments; Streamlines multi-currency cash management
UBSP017,UBS Fixed-Term Deposit 12M,Account,Term Deposit,Retail,CHF,34.74,,1.45,,3200.0,,Yes,2016,Fixed yield 1.45% p.a. locked for term; Early withdrawal penalty applies; Capital guaranteed at maturity,"Locks in a guaranteed return, useful for planned future expenses"
UBSP018,UBS Fixed-Term Deposit 24M,Account,Term Deposit,Affluent,USD,60.38,,1.62,,5900.0,,No,2017,Fixed yield 1.62% p.a. locked for term; Early withdrawal penalty applies; Capital guaranteed at maturity,"Locks in a guaranteed return, useful for planned future expenses"
UBSP019,UBS Mortgage Fixed Rate 10Y,Mortgage,Fixed Rate,Retail,CHF,645.11,2.29,,,,,No,2011,Interest rate 2.29% fixed for term; Loan-to-value up to 80% of property value; Early repayment penalty applies,Makes homeownership affordable through structured financing; Predictable payments protect against rising interest rates
UBSP020,UBS Mortgage SARON Variable,Mortgage,Variable Rate,Retail,CHF,501.15,2.66,,,,,No,2020,"Interest rate 2.66% variable, SARON-linked; Loan-to-value up to 80% of property value; Free early repayment options","Makes homeownership affordable through structured financing; Benefits from falling rates, lower cost in a declining rate environment"
UBSP021,UBS Mortgage Flex,Mortgage,Flexible,Affluent,CHF,448.94,1.78,,,,,No,2005,Interest rate 1.78% adjustable/flexible; Loan-to-value up to 80% of property value; Free early repayment options,Makes homeownership affordable through structured financing; Adapts to changing life circumstances without refinancing
UBSP022,UBS Buy-to-Let Mortgage,Mortgage,Investment Property,Affluent,CHF,513.43,2.85,,,,,No,2013,Interest rate 2.85% adjustable/flexible; Loan-to-value up to 80% of property value; Free early repayment options; Rental income considered in affordability calculation,Makes homeownership affordable through structured financing; Enables portfolio diversification into real estate
UBSP023,UBS Personal Loan,Loan,Unsecured Personal Loan,Retail,CHF,,6.49,,115000.0,,,No,2011,"Interest rate 6.49% APR; Amount available up to CHF 115,000; Fixed monthly installments, no collateral required","Covers large expenses with predictable, manageable repayments"
UBSP024,UBS Lombard Loan,Loan,Securities-Backed Loan,HNW,USD,,4.92,,696000.0,,,No,2017,"Interest rate 4.92% APR; Amount available up to USD 696,000; Collateralized by investment portfolio, no fixed repayment schedule",Access liquidity without selling existing investments
UBSP025,UBS Business SME Loan,Loan,Business Loan,Business,CHF,,6.35,,604000.0,,,No,2014,"Interest rate 6.35% APR; Amount available up to CHF 604,000; Flexible repayment terms, tailored to cash flow",Supports growth or bridges cash flow gaps without diluting ownership
UBSP026,UBS Vitainvest Retirement 3a,Retirement,Pillar 3a,Retail,CHF,0.88,,4.65,,,,No,2016,Target yield 4.65% p.a. (long-term average); Tax-deductible contributions (Pillar 3a/2 rules apply); Withdrawal restricted until retirement age or defined life events,"Reduces taxable income today while building long-term retirement savings; Encourages disciplined, long-horizon wealth accumulation"
UBSP027,UBS Fund Savings Plan 3a,Retirement,Pillar 3a,Retail,CHF,0.68,,4.75,,,,No,2016,Target yield 4.75% p.a. (long-term average); Tax-deductible contributions (Pillar 3a/2 rules apply); Withdrawal restricted until retirement age or defined life events,"Reduces taxable income today while building long-term retirement savings; Encourages disciplined, long-horizon wealth accumulation"
UBSP028,UBS Vested Benefits Account,Retirement,Pillar 2 Vested Benefits,Retail,CHF,0.98,,1.67,,,,No,2017,Target yield 1.67% p.a. (long-term average); Tax-deductible contributions (Pillar 3a/2 rules apply); Withdrawal restricted until retirement age or defined life events,"Reduces taxable income today while building long-term retirement savings; Encourages disciplined, long-horizon wealth accumulation"
UBSP029,UBS Private Pension Plan,Retirement,Private Pension,Affluent,CHF,0.72,,3.18,,,,Yes,2014,Target yield 3.18% p.a. (long-term average); Tax-advantaged long-term savings vehicle; Withdrawal restricted until retirement age or defined life events,"Reduces taxable income today while building long-term retirement savings; Encourages disciplined, long-horizon wealth accumulation"
UBSP030,UBS Managed Portfolio - Yield,Investment,Discretionary Mandate,Affluent,USD,0.97,,7.29,,2116000.0,,No,2010,"Target/historical yield 7.29% p.a.; Management fee 0.97% p.a.; Professional portfolio manager makes all investment decisions; Minimum investment USD 2,116,000",Saves time — experts manage the portfolio on the client's behalf; Potential for long-term capital growth above inflation
UBSP031,UBS Managed Portfolio - Growth,Investment,Discretionary Mandate,Affluent,USD,1.32,,3.5,,485000.0,,Yes,2013,"Target/historical yield 3.5% p.a.; Management fee 1.32% p.a.; Professional portfolio manager makes all investment decisions; Minimum investment USD 485,000",Saves time — experts manage the portfolio on the client's behalf; Potential for long-term capital growth above inflation
UBSP032,UBS Advice Mandate,Investment,Advisory Mandate,Affluent,CHF,0.43,,4.72,,2464000.0,,No,2021,"Target/historical yield 4.72% p.a.; Management fee 0.43% p.a.; Regular investment recommendations, client retains final decision; Minimum investment CHF 2,464,000",Combines expert guidance with client control over final decisions; Potential for long-term capital growth above inflation
UBSP033,UBS Robo Advisory - Manage,Investment,Digital Advisory,Retail,CHF,1.13,,5.58,,978000.0,,No,2006,"Target/historical yield 5.58% p.a.; Management fee 1.13% p.a.; Algorithm-driven portfolio construction and rebalancing; Minimum investment CHF 978,000","Low-cost, low-effort way to access professionally built portfolios; Potential for long-term capital growth above inflation"
UBSP034,UBS Structured Products - Barrier Reverse Convertible,Investment,Structured Product,HNW,USD,2.51,,7.7,,1397000.0,,Yes,2023,"Target/historical yield 7.7% p.a.; Management fee 2.51% p.a.; Capital at risk; payout linked to underlying basket with barrier/coupon conditions; Minimum investment USD 1,397,000",Offers tailored risk/return profile not available via plain securities; Potential for long-term capital growth above inflation
UBSP035,UBS Wealth Management HNW Mandate,Investment,Discretionary Mandate,HNW,USD,2.0,,3.09,,5658000.0,,No,2013,"Target/historical yield 3.09% p.a.; Management fee 2.0% p.a.; Professional portfolio manager makes all investment decisions; Minimum investment USD 5,658,000",Saves time — experts manage the portfolio on the client's behalf; Potential for long-term capital growth above inflation
UBSP036,UBS Custody & Brokerage Account,Investment,Execution Only,Affluent,USD,0.79,,2.23,,2910000.0,,Yes,2015,"Target/historical yield 2.23% p.a.; Management fee 0.79% p.a.; Self-directed trading, no advice included; Minimum investment USD 2,910,000","Lower fees for self-directed, experienced investors; Potential for long-term capital growth above inflation"
UBSP037,UBS Key4 Trading App,Investment,Digital Trading,Retail,CHF,1.61,,6.15,,1275000.0,,No,2021,"Target/historical yield 6.15% p.a.; Management fee 1.61% p.a.; Mobile-first trading app with real-time market access; Minimum investment CHF 1,275,000","Fast, convenient market access anytime from a mobile device; Potential for long-term capital growth above inflation"
UBSP038,UBS Home Insurance,Insurance,Property Insurance,Retail,CHF,1383.09,,,,,,Yes,2007,"Annual premium CHF 1,383.09; Covers fire, water damage, theft, and natural hazards",Financial protection against unexpected home damage or loss
UBSP039,UBS Life Insurance - Term,Insurance,Life Insurance,Retail,CHF,466.24,,,,,,No,2021,"Annual premium CHF 466.24; Death and disability coverage, optional savings component",Provides financial security for dependents in case of death or disability
UBSP040,UBS Life Insurance - Whole of Life,Insurance,Life Insurance,Affluent,CHF,4249.0,,,,,,No,2013,"Annual premium CHF 4,249.00; Death and disability coverage, optional savings component",Provides financial security for dependents in case of death or disability
UBSP041,UBS Travel Insurance,Insurance,Travel Insurance,Retail,CHF,1445.91,,,,,,No,2022,"Annual premium CHF 1,445.91; Covers trip cancellation, medical emergencies abroad, and baggage loss",Peace of mind against trip disruptions and medical emergencies abroad
