Product Name,Category,Product Type,Key Characteristics,Price / Cost,Source URL
Fixed Income,Investment Products,Asset Class,"Bonds and other fixed-income instruments offered as part of the investment product range",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
FX,Investment Products,Asset Class,"Foreign exchange products and trading capabilities",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Real Estate (Investment),Investment Products,Asset Class,"Real estate investment offerings within the investment product range (distinct from mortgage/financing products)",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Alternative Investments,Investment Products,Asset Class,"Access to alternative investment strategies (e.g. hedge funds, private markets) as part of the offering",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Commodities,Investment Products,Asset Class,"Commodities trading and investment access",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Investment Funds,Investment Products,Fund Products,"Range of mutual/investment funds available to clients and intermediaries",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Structured Products,Investment Products,Structured Products,"Customized structured investment products combining derivatives with underlying assets",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Options,Investment Products,Derivatives,"Options trading capability offered within the investment product suite",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Futures,Investment Products,Derivatives,"Futures trading capability offered within the investment product suite",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Sustainable & Impact Investing,Investment Products,Thematic Investing,"Investment solutions focused on sustainability and measurable social/environmental impact",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
UBS key4 smart investing,Investment Products,Digital Investing Account,"Digital/automated investing solution; listed in official price brochure under 'Saving and investing' section",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS key4 trading,Investment Products,Self-Directed Trading Account,"Self-directed online trading account; listed in official price brochure under 'Saving and investing' section",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Investment Fund Account,Investment Products,Fund Custody Account,"Dedicated account for holding investment funds; listed in official price brochure",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
Liquidity Solutions & Cash Management,Banking Products,Cash Management,"Solutions for managing client liquidity and cash positions, offered to Financial Intermediaries",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Lending Solutions,Banking Products,Lending,"Includes single stock loans and structured credit facilities",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Financing,Banking Products,Financing,"Financing solutions, e.g. real estate financing",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Securities Lending,Banking Products,Securities Lending,"Securities lending services offered to intermediaries and institutional clients",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Tax & Regulatory Reporting,Banking Products,Reporting Service,"Tax and regulatory reporting support for intermediaries and their clients",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
Private Label Fund Solutions,Banking Products,Fund Administration,"White-label fund solutions offered to Financial Intermediaries",N/A,https://www.ubs.com/global/en/wealthmanagement/financial-intermediaries/products-and-services.html
UBS Banking (formerly UBS me banking),Accounts / Banking Packages,All-in-One Banking Package,"Bundles account, savings account, debit card and choice of Classic/Gold/Platinum credit card; tiers include Easy, Classic, Gold, Platinum and a children's offer; first 6 months free for new clients; CHF 50 welcome KeyClub gift for new clients",From CHF 15/month after promo period,https://www.ubs.com/ch/en/services/accounts-and-cards/cards.html
UBS Personal Account for Young People,Accounts,Personal Account,"Account for young people; listed in official price brochure",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Personal Account for Students,Accounts,Personal Account,"Account for students; listed in official price brochure",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Personal Account,Accounts,Personal Account,"Standard personal/current account for salary and daily expenses",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Personal Account EUR,Accounts,Personal Account (Foreign Currency),"Personal account denominated in EUR",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Current Account for Private Clients,Accounts,Current Account,"Current account for private clients",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Savings Account for Young People,Savings,Savings Account,"Savings account for young people; listed in official price brochure",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Savings Account,Savings,Savings Account,"Standard savings account for building wealth",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Sustainable Savings Account,Savings,Savings Account (ESG),"Savings account with a sustainability focus",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Rental Deposit Account,Savings,Rental Deposit Account,"Account for holding tenant rental deposits (Mietkaution)",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS key4 pension 3a,Pension,Restricted Pension Account (Pillar 3a),"Digital pillar 3a retirement savings account",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Fisca 3a,Pension,Restricted Pension Account (Pillar 3a),"Tax-deductible pillar 3a retirement savings account; flexible deposits up to legal maximum; preferential interest rate; standing-order deposits supported",Free of charge,https://ubs.com/ch/en/swissbank/private/pay-and-save/bundles/individual.html
UBS Vested Benefits Account,Pension,Vested Benefits Account (Pillar 2),"Account for holding vested pension benefits (Freizügigkeitskonto)",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS Digital Banking (E-Banking / Mobile Banking App),Digital Services,Online/Mobile Banking Platform,"Core digital banking access via web (E-Banking) and mobile app",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS TWINT,Digital Services,Mobile Payment App,"Popular Swiss payment app; instant phone-to-phone money transfer, in-store/online payment, parking payment and more",See price brochure,https://www.ubs.com/ch/en/services/digital-banking/mobile-banking/twint.html
UBS Safe,Digital Services,Digital Document Safe,"Digital safe deposit box; automatically backs up bank documents, viewable via E-Banking or Safe App; can also store personal documents, passwords and photos",See price brochure,https://ubs.com/ch/en/swissbank/private/pay-and-save/bundles/individual.html
UBS KeyClub,Loyalty Program,Bonus/Loyalty Program,"Points earned on every credit/prepaid card payment; 1 point = 1 Swiss franc; redeemable for products and digital gift cards in the KeyClub eStore",N/A,https://www.ubs.com/ch/en/services/keyclub.html
UBS key4 banking,Banking Packages,Digital Banking Package,"Digital-first banking package bundling account, card(s) and digital investing/pension products under the key4 brand",See price brochure,https://www.ubs.com/content/dam/assets/rc/services/accounts-and-cards/static/fact-sheets/services-prices-en.pdf
UBS me banking package,Banking Packages,All-in-One Banking Package,"Package bundling multiple accounts, cards and banking services at an all-inclusive family/couple price; upgrade options for Classic/Standard cards to premium variants",From CHF 15/month (after free intro period),https://ubs.com/ch/en/services/accounts-and-cards/daily-banking/family.html
